movie_id,rank,title,runtime,year,rating,votes
tt1028856,77,Another Round,1h 57m,2020,7.7, (220K
tt2873282,78,Red Sparrow,2h 20m,2018,6.6, (215K
tt1213641,79,First Man,2h 21m,2018,7.3, (213K
tt4520988,80,Frozen II,1h 43m,2019,6.8, (213K
tt6450804,81,Terminator: Dark Fate,2h 8m,2019,6.2, (208K
tt8106534,82,6 Underground,2h 8m,2019,6.1, (208K
tt9484998,83,Palm Springs,1h 30m,2020,7.4, (207K
tt7556122,84,The Old Guard,2h 5m,2020,6.7, (207K
tt2066051,85,Rocketman,2h 1m,2019,7.3, (206K
tt5104604,86,Isle of Dogs,1h 41m,2018,7.8, (206K
tt3104988,87,Crazy Rich Asians,2h,2018,6.9, (205K
tt4701182,88,Bumblebee,1h 54m,2018,6.7, (204K
tt1070874,89,The Trial of the Chicago 7,2h 9m,2020,7.7, (203K
tt5848272,90,Ralph Breaks the Internet,1h 52m,2018,7.0, (200K
tt2231461,91,Rampage,1h 47m,2018,6.1, (198K
tt9770150,92,Nomadland,1h 47m,2020,7.3, (197K
tt1502397,93,Bad Boys for Life,2h 4m,2020,6.5, (194K
tt5884052,94,Pokémon: Detective Pikachu,1h 44m,2019,6.5, (194K
tt5814060,95,The Nun,1h 36m,2018,5.4, (191K
tt7668870,96,Searching,1h 42m,2018,7.6, (190K
tt7040874,97,A Simple Favor,1h 57m,2018,6.7, (188K
tt3794354,98,Sonic the Hedgehog,1h 39m,2020,6.5, (187K
tt1618434,99,Murder Mystery,1h 37m,2019,6.1, (185K
tt5052474,100,Sicario: Day of the Soldado,2h 2m,2018,7.1, (185K
tt4500922,101,Maze Runner: The Death Cure,2h 23m,2018,6.3, (184K
tt1502407,102,Halloween,1h 46m,2018,6.5, (184K
tt7146812,103,Onward,1h 42m,2020,7.4, (183K
tt8079248,104,Yesterday,1h 56m,2019,6.8, (181K
tt6412452,105,The Ballad of Buster Scruggs,2h 13m,2018,7.2, (180K
tt6155172,106,Roma,2h 15m,2018,7.6, (176K
tt6628394,107,Bad Times at the El Royale,2h 21m,2018,7.1, (176K
tt2386490,108,How to Train Your Dragon: The Hidden World,1h 44m,2019,7.4, (173K
tt6266538,109,Vice,2h 12m,2018,7.2, (172K
